Time,Pulses,Distance,Speed,AX,AY,AZ,GX,GY,GZ,Roll,
Time,Pulses,Distance,Speed,AX,AY,AZ,GX,GY,GZ,Roll,Actual Roll
41646,281,97.51,0.15,-340,372,15620,601,797,-8,88.64,1.364276677
41726,282,97.85,0.25,-372,532,15096,591,821,20,87.98,2.01833237
41850,283,98.2,0.16,-80,592,17008,552,745,6,88.01,1.993497962
41926,284,98.55,0.26,-344,680,15900,503,878,6,87.55,2.448893224
42046,285,98.9,0.16,-28,1088,15456,560,760,4,85.97,4.026601136
42117,286,99.24,0.28,-416,708,15068,453,796,-29,87.31,2.690177744
42243,287,99.59,0.16,-92,684,15940,598,775,-14,87.54,2.457106989
42317,288,99.94,0.26,-112,768,15372,307,842,19,87.14,2.86017443
42447,289,100.28,0.15,-292,416,16164,628,789,-34,88.53,1.474250431
42534,290,100.63,0.23,-160,476,15944,671,724,-39,88.29,1.710028394
42686,291,100.98,0.13,-176,520,15708,628,814,-33,88.1,1.896035712
42777,292,101.32,0.22,-476,344,15944,560,743,-11,88.76,1.235994148
42938,293,101.67,0.12,-508,448,16488,386,828,-3,88.44,1.556416496
43031,294,102.02,0.21,-268,704,15652,590,813,-1,87.42,2.575329739
43191,295,102.36,0.12,-408,1144,15924,410,816,-26,85.89,4.109140572
43289,296,102.71,0.2,-104,28,15412,406,763,40,89.9,0.104092919
43460,297,103.06,0.11,-544,448,16392,610,746,-12,88.43,1.56552715
43560,298,103.41,0.2,-388,708,15488,572,806,0,87.38,2.617328983
43716,299,103.75,0.13,-564,-720,16304,450,677,54,92.53,-2.528592711
43801,300,104.1,0.23,-564,492,16532,529,772,-14,88.3,1.704645874
43939,301,104.45,0.14,-436,824,16916,660,760,-15,87.21,2.788746408
44020,302,104.79,0.24,-488,508,15696,600,805,-12,88.15,1.853727035
44147,303,105.14,0.16,-652,684,15840,662,732,19,87.53,2.472599837
44219,304,105.49,0.27,-328,4,16432,476,656,81,89.99,0.013947366
44337,305,105.83,0.17,-280,400,15120,577,868,-16,88.48,1.5154079
44403,306,106.18,0.29,-84,680,16204,480,755,-13,87.6,2.403004399
44516,307,106.53,0.18,-108,752,16000,594,759,-15,87.31,2.690921388
44584,308,106.88,0.29,-420,836,14924,554,800,-32,86.79,3.206195685
44685,309,107.22,0.2,-656,684,16340,591,745,-3,87.6,2.39702853
44754,310,107.57,0.28,-360,356,15436,607,742,-24,88.68,1.321176614
44855,311,107.92,0.2,-504,548,16024,670,736,-25,88.04,1.958677933
44924,312,108.26,0.28,160,164,15004,544,722,44,89.37,0.626241912
45031,313,108.61,0.19,-56,1784,16120,762,790,13,83.68,6.315223546
45102,314,108.96,0.28,-304,792,15556,550,782,-40,87.09,2.914573776
45213,315,109.3,0.18,-188,628,15392,342,928,-21,87.66,2.336395757
45283,316,109.65,0.28,-60,796,15624,375,826,18,87.08,2.916541342
45395,317,110,0.17,-512,196,16236,465,866,-8,89.31,0.691637553
45463,318,110.35,0.29,-532,364,16984,450,759,-28,88.77,1.227771516
45576,319,110.69,0.18,92,488,15756,679,679,23,88.23,1.774016559
45645,320,111.04,0.28,-276,796,14876,442,805,-8,86.94,3.062919277
45764,321,111.39,0.17,332,712,14780,537,821,-23,87.24,2.757989318
45845,322,111.73,0.24,-200,-112,16144,513,686,-32,90.4,-0.397486643
45992,323,112.08,0.13,-120,236,15848,530,774,-23,89.15,0.853155262
46104,324,112.43,0.18,-32,508,15684,473,796,-20,88.14,1.855144352
46338,325,112.77,0.08,-144,700,15512,480,767,1,87.42,2.583796698
46493,326,113.12,0.13,-316,588,15376,418,817,-43,87.81,2.190004551
46741,327,113.47,0.08,-256,676,15736,620,786,1,87.54,2.459846671
46877,328,113.82,0.15,-192,844,15864,602,794,25,86.95,3.045391464
47085,329,114.16,0.09,-52,876,15840,489,764,1,86.83,3.165405806
47201,330,114.51,0.17,-108,276,14996,473,766,-5,88.95,1.054404504
47397,331,114.86,0.1,-344,668,15948,581,766,-7,87.6,2.398496441
47508,332,115.2,0.18,0,800,15740,599,794,2,87.09,2.909607062
47703,333,115.55,0.1,-188,972,16260,380,765,10,86.58,3.420990287
47817,334,115.9,0.17,-224,268,15448,379,746,16,89.01,0.993897507
48023,335,116.25,0.1,-272,624,15768,557,789,-2,87.73,2.266230343
48139,336,116.59,0.17,248,-1468,14544,-688,697,-95,95.76,-5.763634659
48339,337,116.94,0.1,-8,532,15200,571,825,-12,88,2.004534032
48464,338,117.29,0.16,332,792,13208,466,922,-2,86.57,3.431555606
48712,339,117.63,0.08,-288,436,16308,652,743,-6,88.47,1.531457595
48869,340,117.98,0.13,-144,772,15644,553,806,19,87.17,2.825139921
49154,341,118.33,0.07,-176,476,15928,610,780,-8,88.29,1.711745131
49341,342,118.67,0.11,-124,544,16292,597,792,30,88.09,1.912431135
